Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
blog-designer-for-elementor,"Blog Designer For Elementor – Post Slider, Post Carousel, Post Grid",1.1.5,1.1.3,https://downloads.wordpress.org/plugin/blog-designer-for-elementor.1.1.5.zip,"2025-02-01 03:57:00",https://wordpress.org/plugins/blog-designer-for-elementor/,5.2,5.6
buddybot-ai-custom-ai-assistant-and-chat-agent,"BuddyBot – AI Chatbot and Chat Support Agent for WordPress",1.0.3.2,1.0.1.0,https://downloads.wordpress.org/plugin/buddybot-ai-custom-ai-assistant-and-chat-agent.1.0.3.2.zip,"2025-02-01 03:42:00",https://wordpress.org/plugins/buddybot-ai-custom-ai-assistant-and-chat-agent/,6.7,8.0
discountify,"Discount Rules, Coupon management system – Discountify",1.0.69,1.0.66,https://downloads.wordpress.org/plugin/discountify.1.0.69.zip,"2025-02-01 05:26:00",https://wordpress.org/plugins/discountify/,,7.4
filter-plus,"Product Filtering by Categories, Tags, Price Range for WooCommerce – Filter Plus",1.0.80,1.0.76,https://downloads.wordpress.org/plugin/filter-plus.1.0.80.zip,"2025-02-01 05:32:00",https://wordpress.org/plugins/filter-plus/,,7.4
font-resizer-with-post-reading-time,"Font Resize With Post Reading Time [GWE]",2.0.2,2.0.1,https://downloads.wordpress.org/plugin/font-resizer-with-post-reading-time.zip,"2025-02-01 05:08:00",https://wordpress.org/plugins/font-resizer-with-post-reading-time/,4.7,7.0
latex2html,LaTeX2HTML,2.6.2,,https://downloads.wordpress.org/plugin/latex2html.2.6.2.zip,"2025-02-01 04:48:00",https://wordpress.org/plugins/latex2html/,5.0,
local-seo-by-ankit-rawat,"Local SEO By Ankit Rawat",3.0,2.0,https://downloads.wordpress.org/plugin/local-seo-by-ankit-rawat.3.0.zip,"2025-02-01 05:50:00",https://wordpress.org/plugins/local-seo-by-ankit-rawat/,6.0,7.4
lumiere-movies,"Lumière Movies",4.3.3.1,4.3.2.1,https://downloads.wordpress.org/plugin/lumiere-movies.4.3.3.1.zip,"2025-02-01 04:34:00",https://wordpress.org/plugins/lumiere-movies/,5.6,8.0
quicker,"Get More Conversions from Your Existing Customers Using Quicker",1.0.18,1.0.16,https://downloads.wordpress.org/plugin/quicker.1.0.18.zip,"2025-02-01 05:35:00",https://wordpress.org/plugins/quicker/,,7.4
local-seo-by-ankit-rawat,"Local SEO By Ankit Rawat",3.1,3.0,https://downloads.wordpress.org/plugin/local-seo-by-ankit-rawat.3.1.zip,"2025-02-01 07:23:00",https://wordpress.org/plugins/local-seo-by-ankit-rawat/,6.0,7.4
add-pingbacks,"Add Pingbacks",1.2.1,1.1,https://downloads.wordpress.org/plugin/add-pingbacks.1.2.1.zip,"2025-02-01 14:17:00",https://wordpress.org/plugins/add-pingbacks/,5.0,7.4
automation-web-platform,"Wawp OTP Verification, Order Notifications, and Country Code Selector for WooCommerce",4.0.1,3.0.13,https://downloads.wordpress.org/plugin/automation-web-platform.4.0.1.zip,"2025-02-01 13:43:00",https://wordpress.org/plugins/automation-web-platform/,4.0,8.1
clever-fox,"Clever Fox",26.2.63,26.2.62,https://downloads.wordpress.org/plugin/clever-fox.26.2.63.zip,"2025-02-01 12:11:00",https://wordpress.org/plugins/clever-fox/,6.0,5.6
custom-product-type-for-woocommerce,"Custom Product Type for WooCommerce (Add-Ons, Data, Options, Booking, and Appointments)",1.3.2,1.3.1,https://downloads.wordpress.org/plugin/custom-product-type-for-woocommerce.1.3.2.zip,"2025-02-01 13:58:00",https://wordpress.org/plugins/custom-product-type-for-woocommerce/,2.8.0,5.2.4
