Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
version-control-for-jquery,"Version Control for jQuery",4.0.2,4.0.1,https://downloads.wordpress.org/plugin/version-control-for-jquery.4.0.2.zip,"2024-12-01 07:43:00",https://wordpress.org/plugins/version-control-for-jquery/,5.0,7.4
wc-ticket-manager,"WC Ticket Manager – Easily Sell Tickets for Events, Concerts, Functions, Fundraisers, or Conferences from your Site",1.0.6,1.0.3,https://downloads.wordpress.org/plugin/wc-ticket-manager.1.0.6.zip,"2024-12-01 08:23:00",https://wordpress.org/plugins/wc-ticket-manager/,5.0,8.0
wc-variation-swatches,"Product Variation Swatches for WooCommerce – Enhance Your Store Product Attributes with Elegant Color, Image, and Label Swatches",1.1.2,1.1.1,https://downloads.wordpress.org/plugin/wc-variation-swatches.1.1.2.zip,"2024-12-01 08:34:00",https://wordpress.org/plugins/wc-variation-swatches/,5.2,7.4
woo-category-slider-by-pluginever,"Product Category Slider for WooCommerce",4.3.1,4.2.6,https://downloads.wordpress.org/plugin/woo-category-slider-by-pluginever.4.3.1.zip,"2024-12-01 08:29:00",https://wordpress.org/plugins/woo-category-slider-by-pluginever/,5.2,7.4
wp-table-editor,"Table Editor",1.5.1,1.5.0,https://downloads.wordpress.org/plugin/wp-table-editor.zip,"2024-12-01 07:18:00",https://wordpress.org/plugins/wp-table-editor/,6.0,7.2
rsdp-new-user-signup-bonus-discount,"RSDP NEW User Signup Bonus Discount",1.0,,https://downloads.wordpress.org/plugin/rsdp-new-user-signup-bonus-discount.1.0.zip,"2024-12-01 07:25:00",https://wordpress.org/plugins/rsdp-new-user-signup-bonus-discount/,5.6,
meeting-scheduler-by-vcita,"Online Booking & Scheduling Calendar for WordPress by vcita",4.5.2,4.4.6,https://downloads.wordpress.org/plugin/meeting-scheduler-by-vcita.4.5.2.zip,"2024-12-01 10:04:00",https://wordpress.org/plugins/meeting-scheduler-by-vcita/,4.6,
turbo-addons-elementor,"Turbo Addons Elementor",1.5.4,1.5.3,https://downloads.wordpress.org/plugin/turbo-addons-elementor.1.5.4.zip,"2024-12-01 09:15:00",https://wordpress.org/plugins/turbo-addons-elementor/,3.0,7.4
bit-smtp,"SMTP – 100% Free & Open Source SMTP plugin for WordPress – Bit SMTP",1.1.6,1.1.3,https://downloads.wordpress.org/plugin/bit-smtp.1.1.6.zip,"2024-12-01 13:16:00",https://wordpress.org/plugins/bit-smtp/,5.0,7.4
ct-divi-acf-object-loop,"CT Divi ACF Object Loop",1.0.6,1.0.5,https://downloads.wordpress.org/plugin/ct-divi-acf-object-loop.1.0.6.zip,"2024-12-01 12:49:00",https://wordpress.org/plugins/ct-divi-acf-object-loop/,6.0,7.4
dn-shipping-by-weight,"DN Shipping by Weight for WooCommerce",1.2,1.1.1,https://downloads.wordpress.org/plugin/dn-shipping-by-weight.zip,"2024-12-01 13:26:00",https://wordpress.org/plugins/dn-shipping-by-weight/,5.0,5.6
login-via-yandex,"Login via Yandex – вход через Яндекс ID",1.0.5,1.0.2,https://downloads.wordpress.org/plugin/login-via-yandex.1.0.5.zip,"2024-12-01 13:11:00",https://wordpress.org/plugins/login-via-yandex/,4.7,
mihdan-index-now,"CrawlWP SEO – Instant Search Engine Indexing & SEO Performance Monitor",3.0.1,3.0.0,https://downloads.wordpress.org/plugin/mihdan-index-now.3.0.1.zip,"2024-12-01 14:45:00",https://wordpress.org/plugins/mihdan-index-now/,5.9,7.4
smm-api,"SMM API",6.0.27,6.0.25,https://downloads.wordpress.org/plugin/smm-api.6.0.27.zip,"2024-12-01 12:32:00",https://wordpress.org/plugins/smm-api/,4.9.9,
sydney-toolbox,"Sydney Toolbox",1.34,1.32,https://downloads.wordpress.org/plugin/sydney-toolbox.1.34.zip,"2024-12-01 14:40:00",https://wordpress.org/plugins/sydney-toolbox/,4.0,
t4b-news-ticker,"T4B News Ticker – Responsive News Scroller, Slider, and Animations",1.3.2,1.3.1,https://downloads.wordpress.org/plugin/t4b-news-ticker.1.3.2.zip,"2024-12-01 13:54:00",https://wordpress.org/plugins/t4b-news-ticker/,5.2,7.4
uv-b-connector-for-woocommerce,"Utánvét Ellenőr",3.0.3,3.0.1,https://downloads.wordpress.org/plugin/uv-b-connector-for-woocommerce.zip,"2024-12-01 12:55:00",https://wordpress.org/plugins/uv-b-connector-for-woocommerce/,,8.1
v-form,"Lifetime free Drag & Drop Contact Form Builder for WordPress VForm",3.0.8,3.0.5,https://downloads.wordpress.org/plugin/v-form.3.0.8.zip,"2024-12-01 12:51:00",https://wordpress.org/plugins/v-form/,5.6,7.0
wc-shipos-delivery,"Deliver via Shipos for WooCommerce",2.1.4,2.1.3,https://downloads.wordpress.org/plugin/wc-shipos-delivery.2.1.4.zip,"2024-12-01 13:16:00",https://wordpress.org/plugins/wc-shipos-delivery/,5.8.0,7.4
webplus-liqpay-woocommerce,"WebPlus Gateway for LiqPay on WooCommerce",3.3,3.2,https://downloads.wordpress.org/plugin/webplus-liqpay-woocommerce.3.3.zip,"2024-12-01 15:22:00",https://wordpress.org/plugins/webplus-liqpay-woocommerce/,1.0,
menu-export-import,"Menu Export Import",1.0.1,,https://downloads.wordpress.org/plugin/menu-export-import.zip,"2024-12-01 14:40:00",https://wordpress.org/plugins/menu-export-import/,5.2,7.2
moyasar,Moyasar,7.1.13,,https://downloads.wordpress.org/plugin/moyasar.7.1.13.zip,"2024-12-01 13:44:00",https://wordpress.org/plugins/moyasar/,4.6,5.6
adscout,"AdScout Integration",2.3,2.2.7,https://downloads.wordpress.org/plugin/adscout.zip,"2024-12-01 22:16:00",https://wordpress.org/plugins/adscout/,4.7,7.4
christmas-snow-3d,"Christmas Snow 3D – Snowfalling, Snowflake Effect and Christmas mood",1.0.2,1.0.1,https://downloads.wordpress.org/plugin/christmas-snow-3d.zip,"2024-12-01 21:32:00",https://wordpress.org/plugins/christmas-snow-3d/,5.7,5.6
disable-rss-feeds-and-comments,"Disable Feeds and Comments",1.5.1,1.2,https://downloads.wordpress.org/plugin/disable-rss-feeds-and-comments.1.5.zip,"2024-12-01 21:06:00",https://wordpress.org/plugins/disable-rss-feeds-and-comments/,4.7,7.0
discussions-tab-for-woocommerce-products,"Discussions Tab for WooCommerce Products",1.5.6,1.5.5,https://downloads.wordpress.org/plugin/discussions-tab-for-woocommerce-products.1.5.6.zip,"2024-12-01 21:39:00",https://wordpress.org/plugins/discussions-tab-for-woocommerce-products/,4.4,
eafatura-e-arsiv-entegrasyon,"Eafatura e-Arşiv Entegrasyon",1.1,1.0.4,https://downloads.wordpress.org/plugin/eafatura-e-arsiv-entegrasyon.zip,"2024-12-01 22:28:00",https://wordpress.org/plugins/eafatura-e-arsiv-entegrasyon/,6.0,7.4
easy-fancybox,"Firelight Lightbox",2.3.10,2.3.9,https://downloads.wordpress.org/plugin/easy-fancybox.2.3.10.zip,"2024-12-01 19:46:00",https://wordpress.org/plugins/easy-fancybox/,5.0,7.0
ghl-wizard,"LC Wizard",1.2.08,1.2.05,https://downloads.wordpress.org/plugin/ghl-wizard.1.2.08.zip,"2024-12-01 19:50:00",https://wordpress.org/plugins/ghl-wizard/,4.0,5.6
ideapush,IdeaPush,8.73,8.71,https://downloads.wordpress.org/plugin/ideapush.8.73.zip,"2024-12-01 22:00:00",https://wordpress.org/plugins/ideapush/,4.0,5.2.4
mpress-image-refresh,"Image Refresh",2.3.1,2.3,https://downloads.wordpress.org/plugin/mpress-image-refresh.2.3.1.zip,"2024-12-01 21:54:00",https://wordpress.org/plugins/mpress-image-refresh/,4.5,5.4
plugin-check,"Plugin Check (PCP)",1.3.0,1.0.2,https://downloads.wordpress.org/plugin/plugin-check.1.3.0.zip,"2024-12-01 19:44:00",https://wordpress.org/plugins/plugin-check/,6.3,7.4
