Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
about-post-author,"Author Box – Blog Post Author Info Box, Simple About Post Author",1.2.6,1.2.5,https://downloads.wordpress.org/plugin/about-post-author.1.2.6.zip,"2025-04-01 00:30:00",https://wordpress.org/plugins/about-post-author/,4.4,7.0
additional-product-fields-for-woocommerce,"Extra Product Options Builder for WooCommerce",1.2.143,1.2.138,https://downloads.wordpress.org/plugin/additional-product-fields-for-woocommerce.zip,"2025-04-01 00:42:00",https://wordpress.org/plugins/additional-product-fields-for-woocommerce/,3.3,
affiliates-manager,"Affiliates Manager",2.9.45,2.9.43,https://downloads.wordpress.org/plugin/affiliates-manager.zip,"2025-04-01 00:36:00",https://wordpress.org/plugins/affiliates-manager/,3.5,
bulletproof-checkout-lite,"BulletProof Payment Gateway",1.0.15,1.0.14,https://downloads.wordpress.org/plugin/bulletproof-checkout-lite.zip,"2025-04-01 00:08:00",https://wordpress.org/plugins/bulletproof-checkout-lite/,4.0,7.4
child-pages-card,"Child Pages Card",2.07,2.04,https://downloads.wordpress.org/plugin/child-pages-card.2.07.zip,"2025-04-01 01:17:00",https://wordpress.org/plugins/child-pages-card/,6.6,8.0
customized-login,"Login Manager – Design Login Page, View Login Activity, Limit Login Attempts",2.0.6,2.0.5,https://downloads.wordpress.org/plugin/customized-login.2.0.6.zip,"2025-04-01 00:29:00",https://wordpress.org/plugins/customized-login/,4.4,7.0
daisy-links,"Daisy Links – open links in new tab, add nofollow attribute, disable right click on links",1.0.10,1.0.7,https://downloads.wordpress.org/plugin/daisy-links.1.0.10.zip,"2025-04-01 00:19:00",https://wordpress.org/plugins/daisy-links/,5.2,7.2
dc-woocommerce-multi-vendor,"MultiVendorX – Empower Your WooCommerce Store with a Dynamic Multivendor Marketplace – Build the Next Amazon, eBay, Etsy",4.2.20,4.2.15,https://downloads.wordpress.org/plugin/dc-woocommerce-multi-vendor.4.2.20.zip,"2025-04-01 01:51:00",https://wordpress.org/plugins/dc-woocommerce-multi-vendor/,5.4,8.0
easy-product-bundles-for-woocommerce,"Product Bundle Builder for WooCommerce",6.3.0,6.2.1,https://downloads.wordpress.org/plugin/easy-product-bundles-for-woocommerce.6.3.0.zip,"2025-04-01 00:01:00",https://wordpress.org/plugins/easy-product-bundles-for-woocommerce/,5.0,5.6
fixed-bottom-menu,"Fixed Bottom Menu",2.15,2.14,https://downloads.wordpress.org/plugin/fixed-bottom-menu.2.15.zip,"2025-04-01 01:09:00",https://wordpress.org/plugins/fixed-bottom-menu/,6.6,8.0
hestia-nginx-cache,"Hestia Nginx Cache",2.4.2,2.4.0,https://downloads.wordpress.org/plugin/hestia-nginx-cache.2.4.2.zip,"2025-04-01 00:45:00",https://wordpress.org/plugins/hestia-nginx-cache/,4.8,5.4
