Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
pop3d-charts,"Pop3D Charts – 2D/3D Data Visualizer",1.3.2,1.2.2,https://downloads.wordpress.org/plugin/pop3d-charts.1.3.2.zip,"2026-06-01 03:42:00",https://wordpress.org/plugins/pop3d-charts/,6.7,7.4,0
quick-buy-now-button-for-woocommerce,"Quick Buy Now Button for WooCommerce",1.1.6,1.1.5,https://downloads.wordpress.org/plugin/quick-buy-now-button-for-woocommerce.1.1.6.zip,"2026-06-01 05:02:00",https://wordpress.org/plugins/quick-buy-now-button-for-woocommerce/,4.8,7.4,40000
rees-real-estate-for-woo,"REES – Real Estate for Woo",1.0.10,1.0.9,https://downloads.wordpress.org/plugin/rees-real-estate-for-woo.zip,"2026-06-01 04:22:00",https://wordpress.org/plugins/rees-real-estate-for-woo/,6.2,7.4,80
sakurato-crypto-portfolio-tracker,"Sakurato Crypto Portfolio Tracker",4.2.0,4.1.1,https://downloads.wordpress.org/plugin/sakurato-crypto-portfolio-tracker.4.2.0.zip,"2026-06-01 04:16:00",https://wordpress.org/plugins/sakurato-crypto-portfolio-tracker/,5.8,7.4,0
sam-optirank,"SAM Optirank",1.9.5,1.9.1,https://downloads.wordpress.org/plugin/sam-optirank.1.9.5.zip,"2026-06-01 05:11:00",https://wordpress.org/plugins/sam-optirank/,6.0,8.0,0
sovaryx-login-security,"Sovaryx Login Security",1.0.1,1.0.0,https://downloads.wordpress.org/plugin/sovaryx-login-security.1.0.1.zip,"2026-06-01 04:51:00",https://wordpress.org/plugins/sovaryx-login-security/,6.0,7.4,0
unlimited-elementor-inner-sections-by-boomdevs,"Prime Elementor Addons – Lightweight Elementor Widgets for Faster Pages",1.3.4,1.3.2,https://downloads.wordpress.org/plugin/unlimited-elementor-inner-sections-by-boomdevs.1.3.4.zip,"2026-06-01 05:12:00",https://wordpress.org/plugins/unlimited-elementor-inner-sections-by-boomdevs/,6.0,7.4,5000
video-gallery-block,"Video Gallery Block",1.1.3,1.1.1,https://downloads.wordpress.org/plugin/video-gallery-block.1.1.3.zip,"2026-06-01 03:11:00",https://wordpress.org/plugins/video-gallery-block/,6.5,7.4,1000
wpinterface-add-ons,"WPInterface Add-ons",1.0.3,1.0.2,https://downloads.wordpress.org/plugin/wpinterface-add-ons.1.0.3.zip,"2026-06-01 04:45:00",https://wordpress.org/plugins/wpinterface-add-ons/,5.6,5.2,1000
yatoon-booking-system,"Yatoon Appointment Booking for Salons & Spas with AI Assistant",3.2.0,3.1.5,https://downloads.wordpress.org/plugin/yatoon-booking-system.3.2.0.zip,"2026-06-01 03:39:00",https://wordpress.org/plugins/yatoon-booking-system/,5.8,7.4,0
