Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
app-for-cf,"App for Cloudflare®",1.8.8,1.8.7,https://downloads.wordpress.org/plugin/app-for-cf.1.8.8.zip,"2024-10-01 00:20:00",https://wordpress.org/plugins/app-for-cf/,,
heic-support,"HEIC Support",2.1.3,2.1.1,https://downloads.wordpress.org/plugin/heic-support.2.1.3.zip,"2024-10-01 01:20:00",https://wordpress.org/plugins/heic-support/,,
pdf-embed-viewer,"PDF Embed Viewer",1.0.6,1.0.5,https://downloads.wordpress.org/plugin/pdf-embed-viewer.zip,"2024-10-01 01:02:00",https://wordpress.org/plugins/pdf-embed-viewer/,,
wpinfecscanlite,"WPDoctor Malware Scanner & Vulnerability Checker Lite",1.1,1.0.4,https://downloads.wordpress.org/plugin/wpinfecscanlite.1.1.zip,"2024-10-01 01:37:00",https://wordpress.org/plugins/wpinfecscanlite/,,
wplingua,"Translate WordPress with wpLingua – Automatic, editable, SEO friendly",2.0.1,2.0.0,https://downloads.wordpress.org/plugin/wplingua.2.0.1.zip,"2024-10-01 00:50:00",https://wordpress.org/plugins/wplingua/,,
a2z-fedex-shipping,"Automated FedEx live/manual rates with shipping labels – HPOS supported",4.7.7,4.7.6,https://downloads.wordpress.org/plugin/a2z-fedex-shipping.4.7.7.zip,"2024-10-01 06:39:00",https://wordpress.org/plugins/a2z-fedex-shipping/,4.6.1,5.6
access-guard,"Access Guard",1.0.1,1.0.0,https://downloads.wordpress.org/plugin/access-guard.1.0.1.zip,"2024-10-01 05:18:00",https://wordpress.org/plugins/access-guard/,6.4,7.4
affiliate-toolkit-starter,affiliate-toolkit,3.6.4,3.6.3,https://downloads.wordpress.org/plugin/affiliate-toolkit-starter.zip,"2024-10-01 07:54:00",https://wordpress.org/plugins/affiliate-toolkit-starter/,5.6,7.4
bdthemes-prime-slider-lite,"Prime Slider – Addons For Elementor (Revolution of a slider, Hero Slider, Ecommerce Slider)",3.15.11,3.15.10,https://downloads.wordpress.org/plugin/bdthemes-prime-slider-lite.3.15.11.zip,"2024-10-01 06:00:00",https://wordpress.org/plugins/bdthemes-prime-slider-lite/,5.0.0,7.4.0
bwd-elementor-addons,"BWD Elementor Addons (2500+ presets, Meet The Team, Lottie, Lord Icon, Masking, Woocommerce, Products, Blogs, CV, Contact Form 7 Styler, Header, Slider, Hero Section)",4.3.1,4.2.19,https://downloads.wordpress.org/plugin/bwd-elementor-addons.4.3.1.zip,"2024-10-01 06:56:00",https://wordpress.org/plugins/bwd-elementor-addons/,5.0,7.0
