Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
essential-classy-addons-for-elementor,"EC Addons For Elementor – Elementor Addons, Header Footer Singular Archive 404 Page Templates, Widgets, Woo/Blog Widgets",3.0.43,3.0.42,https://downloads.wordpress.org/plugin/essential-classy-addons-for-elementor.3.0.43.zip,"2025-07-01 03:10:00",https://wordpress.org/plugins/essential-classy-addons-for-elementor/,6.0,7.4
ninox-integration-for-woocommerce,"Ninox – Integration for WooCommerce",1.0.3,1.0.0,https://downloads.wordpress.org/plugin/ninox-integration-for-woocommerce.1.0.3.zip,"2025-07-01 01:57:00",https://wordpress.org/plugins/ninox-integration-for-woocommerce/,6.4,7.2
woocommerce-google-analytics-integration,"Google Analytics for WooCommerce",2.1.16,2.1.13,https://downloads.wordpress.org/plugin/woocommerce-google-analytics-integration.2.1.16.zip,"2025-07-01 03:37:00",https://wordpress.org/plugins/woocommerce-google-analytics-integration/,6.6,7.4
consumer-terminal-checkout,"Consumer Terminal Checkout",1.0,,https://downloads.wordpress.org/plugin/consumer-terminal-checkout.1.0.0.zip,"2025-07-01 03:10:00",https://wordpress.org/plugins/consumer-terminal-checkout/,4.7,7.0
accessibility-assistant,"Accessibility & ADA WCAG EAA",1.5,1.4.3,https://downloads.wordpress.org/plugin/accessibility-assistant.zip,"2025-07-01 09:40:00",https://wordpress.org/plugins/accessibility-assistant/,6.5,5.0
acf-frontend-form-element,"Frontend Admin by DynamiApps",3.28.14,3.28.13,https://downloads.wordpress.org/plugin/acf-frontend-form-element.3.28.14.zip,"2025-07-01 09:18:00",https://wordpress.org/plugins/acf-frontend-form-element/,4.6,5.6.0
add-to-cart-direct-checkout-for-woocommerce,"Direct checkout, Add to cart redirect, Quick purchase button, Buy now button, Quick View button for WooCommerce",2.1.73.63,2.1.73.61,https://downloads.wordpress.org/plugin/add-to-cart-direct-checkout-for-woocommerce.2.1.73.63.zip,"2025-07-01 09:42:00",https://wordpress.org/plugins/add-to-cart-direct-checkout-for-woocommerce/,3.0.1,
advance-custom-html,"Advance Custom HTML",1.0.7,1.0.5,https://downloads.wordpress.org/plugin/advance-custom-html.1.0.7.zip,"2025-07-01 09:05:00",https://wordpress.org/plugins/advance-custom-html/,6.5,7.1
advanced-related-posts,"Advanced Related Posts",1.8.4,1.8.3,https://downloads.wordpress.org/plugin/advanced-related-posts.1.8.4.zip,"2025-07-01 08:27:00",https://wordpress.org/plugins/advanced-related-posts/,4.0,
ananta-sites,"Anant Sites — Elementor & Gutenberg Readymade Template Library Free & Pro Templates",1.1.7,1.1.6,https://downloads.wordpress.org/plugin/ananta-sites.zip,"2025-07-01 08:50:00",https://wordpress.org/plugins/ananta-sites/,5.4,7.4
ays-chatgpt-assistant,"AI ChatBot with ChatGPT and Content Generator by AYS",2.5.8,2.5.7,https://downloads.wordpress.org/plugin/ays-chatgpt-assistant.2.5.8.zip,"2025-07-01 07:54:00",https://wordpress.org/plugins/ays-chatgpt-assistant/,5.0,7.0
bit-integrations,"Bit integrations – Easy Automator with no-code automation, integrate Webhook and automate 290+ Platform",2.6.2,2.6.1,https://downloads.wordpress.org/plugin/bit-integrations.2.6.2.zip,"2025-07-01 07:40:00",https://wordpress.org/plugins/bit-integrations/,5.1,7.4
chart-builder,"Chartify – WordPress Chart Plugin",3.5.2,3.5.1,https://downloads.wordpress.org/plugin/chart-builder.3.5.2.zip,"2025-07-01 07:49:00",https://wordpress.org/plugins/chart-builder/,5.0,7.0
checkout-fields-for-blocks,"Checkout Fields for Blocks",1.0.6,1.0.3,https://downloads.wordpress.org/plugin/checkout-fields-for-blocks.1.0.6.zip,"2025-07-01 08:28:00",https://wordpress.org/plugins/checkout-fields-for-blocks/,6.4,7.4
classified-listing-toolkits,"Classified Listing Toolkits",1.1.4,1.1.3,https://downloads.wordpress.org/plugin/classified-listing-toolkits.1.1.4.zip,"2025-07-01 09:10:00",https://wordpress.org/plugins/classified-listing-toolkits/,5.6,7.4
classified-listing,"Classified Listing – Classified ads & Business Directory Plugin",5.0.0,4.2.0,https://downloads.wordpress.org/plugin/classified-listing.5.0.0.zip,"2025-07-01 09:27:00",https://wordpress.org/plugins/classified-listing/,5.6,7.4
cloudpayments-gateway-for-woocommerce,"CloudPayments Gateway for WooCommerce",3.2.5,3.2.3,https://downloads.wordpress.org/plugin/cloudpayments-gateway-for-woocommerce.3.2.5.zip,"2025-07-01 08:40:00",https://wordpress.org/plugins/cloudpayments-gateway-for-woocommerce/,4.9.7,5.2.4
content-aware-sidebars,"Content Aware Sidebars – Fastest Widget Area Plugin",3.21.2,3.20,https://downloads.wordpress.org/plugin/content-aware-sidebars.3.21.2.zip,"2025-07-01 08:19:00",https://wordpress.org/plugins/content-aware-sidebars/,5.5,7.1
delicious-recipes,"WP Delicious – Recipe Plugin for Food Bloggers (formerly Delicious Recipes)",1.8.5,1.8.3,https://downloads.wordpress.org/plugin/delicious-recipes.1.8.5.zip,"2025-07-01 08:58:00",https://wordpress.org/plugins/delicious-recipes/,5.1,7.4
elementor,"Elementor Website Builder – More Than Just a Page Builder",3.30.0,3.29.0,https://downloads.wordpress.org/plugin/elementor.3.30.0.zip,"2025-07-01 09:44:00",https://wordpress.org/plugins/elementor/,6.6,7.4
event-tickets-with-ticket-scanner,"Event Tickets with Ticket Scanner",2.7.4,2.7.1,https://downloads.wordpress.org/plugin/event-tickets-with-ticket-scanner.2.7.4.zip,"2025-07-01 09:18:00",https://wordpress.org/plugins/event-tickets-with-ticket-scanner/,,7.0
flexible-checkout-fields,"Flexible Checkout Fields for WooCommerce – WooCommerce Checkout Manager",4.1.24,4.1.23,https://downloads.wordpress.org/plugin/flexible-checkout-fields.4.1.24.zip,"2025-07-01 07:55:00",https://wordpress.org/plugins/flexible-checkout-fields/,6.4,7.4
funnel-builder,"WooCommerce Checkout & Funnel Builder by FunnelKit",3.11.0,3.10.2,https://downloads.wordpress.org/plugin/funnel-builder.3.11.0.zip,"2025-07-01 08:18:00",https://wordpress.org/plugins/funnel-builder/,5.4.0,7.4
gallery-photo-gallery,"Photo Gallery by Ays – Responsive Image Gallery",6.2.5,6.2.4,https://downloads.wordpress.org/plugin/gallery-photo-gallery.6.2.5.zip,"2025-07-01 07:42:00",https://wordpress.org/plugins/gallery-photo-gallery/,4.0,
google-listings-and-ads,"Google for WooCommerce",3.1.0,2.9.9,https://downloads.wordpress.org/plugin/google-listings-and-ads.3.1.0.zip,"2025-07-01 09:32:00",https://wordpress.org/plugins/google-listings-and-ads/,6.1,7.4
gutentor,"Gutentor – Gutenberg Blocks – Page Builder for Gutenberg Editor",3.4.9,3.4.8,https://downloads.wordpress.org/plugin/gutentor.3.4.9.zip,"2025-07-01 09:43:00",https://wordpress.org/plugins/gutentor/,6.0,5.6.20
gutenverse-form,"Gutenverse Form – Contact Form Builder, Booking, Reservation, Subscribe for Block Editor",2.0.8,2.0.6,https://downloads.wordpress.org/plugin/gutenverse-form.2.0.8.zip,"2025-07-01 07:42:00",https://wordpress.org/plugins/gutenverse-form/,,7.0
gutenverse,"Gutenverse – Ultimate Block Addons and Page Builder for Site Editor",3.0.7,3.0.6,https://downloads.wordpress.org/plugin/gutenverse.3.0.7.zip,"2025-07-01 07:51:00",https://wordpress.org/plugins/gutenverse/,,7.0
hello-plus,"Hello Plus",1.6.2,1.5.3,https://downloads.wordpress.org/plugin/hello-plus.1.6.2.zip,"2025-07-01 09:04:00",https://wordpress.org/plugins/hello-plus/,6.0,7.4
hertwill,"Hertwill – EU and US Dropshipping",1.1.3,1.1.0,https://downloads.wordpress.org/plugin/hertwill.1.1.3.zip,"2025-07-01 09:10:00",https://wordpress.org/plugins/hertwill/,6.3,7.4
