Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
blogarise,BlogArise,1.6.5,1.6.4,https://downloads.wordpress.org/theme/blogarise.1.6.5.zip,"2026-06-01 04:50:46",https://wordpress.org/themes/blogarise/,6.7,7.4,4000
blogdata,BlogData,1.8.3,1.8.2,https://downloads.wordpress.org/theme/blogdata.1.8.3.zip,"2026-06-01 04:55:51",https://wordpress.org/themes/blogdata/,6.7,7.4,2000
blogsy,Blogsy,1.0.16,1.0.15,https://downloads.wordpress.org/theme/blogsy.1.0.16.zip,"2026-06-01 05:03:06",https://wordpress.org/themes/blogsy/,6.6,7.4,2000
blogus,Blogus,2.9.8,2.9.7,https://downloads.wordpress.org/theme/blogus.2.9.8.zip,"2026-06-01 04:48:18",https://wordpress.org/themes/blogus/,6.7,7.4,10000
blogza,Blogza,0.8,0.7,https://downloads.wordpress.org/theme/blogza.0.8.zip,"2026-06-01 04:57:57",https://wordpress.org/themes/blogza/,6.7,7.4,1000
fameup,Fameup,1.0.0.52,1.0.0.51,https://downloads.wordpress.org/theme/fameup.1.0.0.52.zip,"2026-06-01 04:53:43",https://wordpress.org/themes/fameup/,6.7,7.4,600
newsair,Newsair,2.2.7,2.2.6,https://downloads.wordpress.org/theme/newsair.2.2.7.zip,"2026-06-01 04:49:51",https://wordpress.org/themes/newsair/,6.7,7.4,1000
newseblog,NewseBlog,1.2,1.1,https://downloads.wordpress.org/theme/newseblog.1.2.zip,"2026-06-01 05:01:14",https://wordpress.org/themes/newseblog/,6.6,7.4,300
newspaperup,Newspaperup,1.7.5,1.7.4,https://downloads.wordpress.org/theme/newspaperup.1.7.5.zip,"2026-06-01 04:52:30",https://wordpress.org/themes/newspaperup/,6.7,7.4,1000
newsup,Newsup,5.4.3,5.4.1,https://downloads.wordpress.org/theme/newsup.5.4.3.zip,"2026-06-01 04:47:46",https://wordpress.org/themes/newsup/,6.7,7.4,10000
newsxo,Newsxo,1.5.4,1.5.3,https://downloads.wordpress.org/theme/newsxo.1.5.4.zip,"2026-06-01 04:56:36",https://wordpress.org/themes/newsxo/,6.7,7.4,900
pixel-grove,"Pixel Grove",1.4,1.3,https://downloads.wordpress.org/theme/pixel-grove.1.4.zip,"2026-06-01 03:32:47",https://wordpress.org/themes/pixel-grove/,6.0,7.0,400
bbh-lite,"BBH Lite",1.0.3,,https://downloads.wordpress.org/theme/bbh-lite.1.0.3.zip,"2026-06-01 03:46:14",https://wordpress.org/themes/bbh-lite/,6.0,7.4,0
career-mentor-coach,"Career Mentor Coach",1.0.1,,https://downloads.wordpress.org/theme/career-mentor-coach.1.0.1.zip,"2026-06-01 03:32:08",https://wordpress.org/themes/career-mentor-coach/,6.9,7.4,0
sellany,SellAny,1.0.1,,https://downloads.wordpress.org/theme/sellany.1.0.1.zip,"2026-06-01 03:32:17",https://wordpress.org/themes/sellany/,7.0,7.0,0
apura,Apura,1.3.2,1.3.0,https://downloads.wordpress.org/theme/apura.1.3.2.zip,"2026-06-01 10:29:55",https://wordpress.org/themes/apura/,6.6,7.4,20
