Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
sproutient-business-dock,"Sproutient Business Dock",1.7.0,,https://downloads.wordpress.org/theme/sproutient-business-dock.1.7.0.zip,"2025-12-01 03:01:04",https://wordpress.org/themes/sproutient-business-dock/,5.0,7.0,0
anavo,Anavo,1.4,1.3,https://downloads.wordpress.org/theme/anavo.1.4.zip,"2025-12-01 04:33:13",https://wordpress.org/themes/anavo/,4.7,5.6,40
avira,Avira,18.1,18.0,https://downloads.wordpress.org/theme/avira.18.1.zip,"2025-12-01 04:37:52",https://wordpress.org/themes/avira/,4.7,5.6,700
benzer,Benzer,18.1,18.0,https://downloads.wordpress.org/theme/benzer.18.1.zip,"2025-12-01 04:36:59",https://wordpress.org/themes/benzer/,4.7,5.6,800
blogarise,BlogArise,1.4.4,1.4.3,https://downloads.wordpress.org/theme/blogarise.1.4.4.zip,"2025-12-01 04:46:09",https://wordpress.org/themes/blogarise/,6.7,7.4,4000
blogdata,BlogData,1.6.2,1.6.1,https://downloads.wordpress.org/theme/blogdata.1.6.2.zip,"2025-12-01 04:47:29",https://wordpress.org/themes/blogdata/,6.7,7.4,2000
blogus,Blogus,2.7.6,2.7.5,https://downloads.wordpress.org/theme/blogus.2.7.6.zip,"2025-12-01 04:44:08",https://wordpress.org/themes/blogus/,6.7,7.4,10000
centrum,Centrum,0.5,0.4,https://downloads.wordpress.org/theme/centrum.0.5.zip,"2025-12-01 04:36:25",https://wordpress.org/themes/centrum/,4.7,5.6,60
contry,Contry,1.1,1.0,https://downloads.wordpress.org/theme/contry.1.1.zip,"2025-12-01 04:36:00",https://wordpress.org/themes/contry/,4.7,5.6,30
envitech,Envitech,9.6,9.5,https://downloads.wordpress.org/theme/envitech.9.6.zip,"2025-12-01 04:35:39",https://wordpress.org/themes/envitech/,,7.0,50
exnova,Exnova,7.4,7.3,https://downloads.wordpress.org/theme/exnova.7.4.zip,"2025-12-01 04:34:56",https://wordpress.org/themes/exnova/,4.7,5.6,40
fabify,Fabify,18.1,18.0,https://downloads.wordpress.org/theme/fabify.18.1.zip,"2025-12-01 04:34:32",https://wordpress.org/themes/fabify/,4.7,5.6,900
newsair,Newsair,2.0.9,2.0.8,https://downloads.wordpress.org/theme/newsair.2.0.9.zip,"2025-12-01 04:44:47",https://wordpress.org/themes/newsair/,6.7,7.4,1000
newspaperup,Newspaperup,1.5.4,1.5.3,https://downloads.wordpress.org/theme/newspaperup.1.5.4.zip,"2025-12-01 04:45:24",https://wordpress.org/themes/newspaperup/,6.7,7.4,2000
newsup,Newsup,5.1.8,5.1.7,https://downloads.wordpress.org/theme/newsup.5.1.8.zip,"2025-12-01 04:42:13",https://wordpress.org/themes/newsup/,6.7,7.4,20000
scolax,Scolax,17.2,17.1,https://downloads.wordpress.org/theme/scolax.17.2.zip,"2025-12-01 04:34:09",https://wordpress.org/themes/scolax/,4.7,5.6,90
specia,Specia,18.7,18.6,https://downloads.wordpress.org/theme/specia.18.7.zip,"2025-12-01 04:33:46",https://wordpress.org/themes/specia/,4.7,5.6,2000
zestoria,Zestoria,1.4,1.3,https://downloads.wordpress.org/theme/zestoria.1.4.zip,"2025-12-01 04:38:53",https://wordpress.org/themes/zestoria/,4.7,5.6,40
newsxo,Newsxo,1.3.5,1.3.4,https://downloads.wordpress.org/theme/newsxo.1.3.5.zip,"2025-12-01 06:19:10",https://wordpress.org/themes/newsxo/,6.7,7.4,1000
